Column1,French,Nufi
0, l'assiette,Kā' 
1," la médecine, la magie",Kà' 
2, il a cassé,Ǎ pʉ́ɑ́' 
3, il est devenu fou,Ǎ pʉ́ɑ́ 
4, ne te balade pas,Ǒ sì kāāsī 
5, ne fais pas frire.,Ǒ sì kā'sī 
6, dis-lui de venir.,Lēn mbú ì mɑ́ á sɑ̀' 
7, les enfants du Cameroun.,Póá [póó á] Kàmèrûn 
8, ma main est propre.,Pō á mɑ̀ndēē 
9, ma mère m'a donné la nourriture.,Mɑ̄vǒ hɑ́ wúzɑ́ mbú à 
10, mon ami.,Sēn à 
11," je lui ai dit, il a ri","Ngɑ̌ lén mbú ì, à zhwīè "
12, elle aime la viande,Ǎ nkwé' mbɑ̀ɑ̀ 
13," il, elle ira au champ.",Ǎ ìngén kò 
14, ma mère m'a tapé,Mɑ̄vǒ zàb ā 
15, ma mère me cherche.,Mɑ̄vǒ mɑ̀ncāk ā 
16, ma tête,Tū ā 
17, mon pied,Khù ā 
18, mes pieds,Pl. nkhù mǎ 
19, mes affaires,Póózū zǎ 
20, mes enfants.,Pōō mbǎ 
21, le chef (de) Bana,Fʉ̀ ā Nèè 
22, la mère de Weladji.,Mɑ̄ ā Wènlɑ̀'zhī 
23, fille originaire de Sō',Ngòò ā Sō' 
24, femme originaire de Bafang ou alors femme dont l'époux est de Bafang,Nzhwīē ā Fā' 
25, fille originaire de Banka,E.g. ngòò ā Nkɑ̀' 
26, filles originaires de Banka.,E.g. ngòò á Nkɑ̀' 
27, quoi?,Ɑ́ kɑ́ 
28, qui?,Ɑ́ wɑ̄ 
29, s'il vient à pleuvoir.,Ɑ́ yì mɑ̀ mbǎk ló lɑ́ 
30, où?,Ɑ́ hɑ̄ 
31, à Bapouatou,Ɑ́ Póántòò 
32, en France.,Ɑ́ France 
33, tu me dis comme ça pour que je dise quoi?,"Ǒ ngə́ə́ mbú á fà'á lɑ́, ɑ́ ndēn mɑ́ kɑ́ "
34, on enseigne les enfants afin qu'ils soient instruits,"Pó nsíésí pʉ̄nkhʉ̄ɑ̄, ɑ́ pō zhī wū "
35, il est allé au marché pour faire ses emplettes,Ǎ ghěn ntéé ɑ́ ywēn wū ī 
36, partons!,Ɑ́ pɑ̀h shʉ́ɑ́ 
37," Ah bon, monsieur?",Ɑ̌ mbɑ̄'! 
38, Est-il venu?,Ǎ sɑ̀' ɑ́ ? 
39, ,Ǎ cɑ̀ɑ̀ bā 
40, salue-moi,Cɑ̀'sì ā lɑ́ 
41," liberté, indépendance",Dìpʉ̀ɑ̀ 
42,"  saucisson, pâté",Ghǒ'mbɑ̀ɑ̀ 
43, nu,Kɑ̀cāk 
44," il, elle est sorti(e) nu(e)",Ǎ tə́b nzɑ̄ kɑ̀cāk 
45," fesses nues, sans caleçon",Kɑ̀cák tèn 
46, vente-toi,Kɑ̀'sì 
47, montre-lui.,Lɑ̀'sì ī 
48, j'aime tellement la viande.,Ngɑ̌ kə̌' mbɑ̀ɑ̀ tɑ̀' 
49, partage et donne-m'en quatre parts.,Ghɑ̀ɑ̀ nhɑ̄ yǎ nzhì kwɑ̀ 
50, viens faire la prière.,Sɑ̀' ngʉ́ lɑ̀ɑ̀sì 
51, mon père a construit une barrière.,Mbɑ̄' ó kwāt tɑ̀' kɑ̀ɑ̀ 
52, Ça alors ? Mince alors ! Putain ! Le monde!,Àhâ ! Hɔ̌bɑ̂! Kɑ̀cɔ̀ ! sīècɑ̄' ! 
53," Mon mari, m'aimes-tu encore?","Ndū à, ǒ nját nkə́' ā á ? "
54, Mais bien sûr que oui!,Àhâ ! 
55, un Africain,Mīā Āfrīkà 
56, les Africains,Póá Āfrīkà 
57, je suis Africain(e),Ngɑ̌ mɑ́ yǐ Āfrīkà 
58, il n'est pas un Africain,À sī mɑ́ mīā Āfrīkà bɑ̄ 
59, l'Afrique du Sud,Āfrīkà njàm ndàk 
60, mère Afrique.,Mɑ̄vǒ Āfrīkà 
61, Ça alors ? Mince alors ! Putain ! Le monde!,Àhâ ! Hɔ̌bɑ̂! Kɑ̀cɔ̀ ! Sīècɑ̄' ! 
63, Mais bien sûr que oui ! Syn. hɔ̌bɑ̂.,Àhâ ! 
64, je suis Américain (e),Ngɑ̌ mɑ́ yǐ Āmērīkà 
65, les Américains,Pɑ̌Āmērīkà 
66, les Américains.,Póá Āmērīkà 
67, je suis un Asiatique,Ngɑ̌ mɑ́ yǐ Āzìà 
68, les Asiatiques,Pɑ̌Āzìà 
69, les Asiatiques.,Póá Āzìà 
70, mon argent,Nkɑ̄ɑ̄ bà 
71, mon légume,Njɑ̀ɑ̀ bà 
72, ma viande,Mbɑ̀ɑ̀ bà 
73," ma clôture, ma barrière",Kɑ̀ɑ̀ bà 
74, mon filtre,Cɑ̄ɑ̄ bà 
75," mon crochet, ma fourche",Ngɔ̀ bà 
76, mon gorille,Pū'nkɔ̀ bà 
77, mon testicule.,Lɔ̀ bà 
78, ma fille,On dira donc ngòò nà 
79, ma fillette.,Mêngòò nà 
80, donne-moi ce bâton-là,Hɑ̄ nshʉ̀ʉ̀ bǎ lè 
81, voilà Monthe,Mòōntʉ̀ɑ̀' bǎ 
82, cette maison est inclinée,Pè'è bǎ ták 
83, donne-moi celui-là.,Hɑ̄ yì bǎ mbú à 
84, il/elle m'a insulté,Ǎ cɑ̀ɑ̀ bā 
85," il ne m'a pas saluer, il ne m'a pas honoré",À kà lɑ́ɑ́ bā 
86, c'est moi,Mʉ̀ bɑ́ 
87, c'est un chien,Mvʉ̄ɑ̄ bɑ́ 
88, c'est une souris,Cwàákhù bɑ́ 
89, c'est une assiette,Kā' bɑ́ 
90, Qui est-ce là-bas?,Wɑ̄ bíì ? 
91, c'est le président de la république,Nsɑ̂'ngə̀' bɑ́ 
92," ce n'est pas une femme, c'est un homme","Sī mʉ̀nzhwīē bɑ́ bɑ̄, mbā' bɑ́ "
93," ce n'est pas une pomme de terre, c'est un macabo","Sī njò'ndāk bɑ́ bɑ̄, ngòòmbōk bɑ́ "
94," ce n'est pas moi qui ai volé, c'est Monthe, c'est lui.","Sī mʉ̀ bɑ̄ nzhʉ̀ɑ̀ bɑ̄, Mòōntʉ̀ɑ̀' bɑ́, yʉ̄ɑ̄ bɑ́ "
95," s'il est là, je ne viendrais pas","À bɑ̌ sīē, mɑ̀ ǹ sí' nsɑ́' bɑ̄ "
96," S'il n'a pas encore fini, je vais le chicoter.","À bɑ́ mɑ̀ à yǎt sì mèh, mɑ̀ ngɑ̌ ìmvēn ī "
97, Tu as nié n'est-ce pas?,Ǒ ghá' bɑ̂ ? 
98, n'est-ce-pas?,Sī fà'á bɑ̂ 
99," si tu bois trop d'alcool, tu vomiras.","Ò nǔ ghɑ̀'ndù' yə̄ə̄ bɑ̂, mɑ̀ ǒ ndʉ̄' "
100, c'est moi,Mʉ̀ bɑ̌ 
101, c'est un chien,Mvʉ̄ɑ̄ bɑ̌ 
102, c'est une souris,Cwàákhù bɑ̌ 
103, c'est une assiette,Kā' bɑ̌ 
