Francais,Nufi
Chapitre 1. Faire les présentations.,Nzâknù 1. Lɑ̀'sǐnā.
"Se présenter, c'est-à-dire parler de soi est la chose la plus instinctive du monde. À la fin de ce chapitre, vous serez en mesure non seulement de vous présenter correctement en langue fè'éfě'è, mais aussi de poser les questions à votre interlocuteur pour mieux le connaitre.","Làh ndɑ́'sí nā wěn mɑ́ ntûmbhì wū yì mbɑ̀wɑ̄lɑ́ nnēē nkwá'sí làh ngʉ́ sīècɑ́' è lɑ́. Ǒ ìndī' měh béé sìèsì lè mɑ̀ ǒ còh nzhī làh ndɑ́'sí nā ō, mbát nté'sí nǔ mbhí wèn yì yēē pɑ́h í mɑ̀nsāhnù lɑ́, ɑ́ lǎh cǒh zhī ì."
Salut.,Mbə̄ə̄ lɑ́!
Salut mon frère/ma sœur.,Mbə̄ə̄ lɑ́ mēmmɑ̄ ò!
Comment ça va?,Yáá mɑ̀ lāhā?
Ça va bien.,Yáá mɑ̀nnák
"Ça va bien, merci.","Yáá mɑ̀nnák, ngɑ̌ pén ō."
Et toi?,Wò yō lɑ́ ō?
"Je suis en santé, merci.","Ngɑ̌ ntèn, ngɑ̌ pén ō."
Qui es-tu?,Ǒ mɑ́ wɑ̄?
Présente-toi.,Lɑ̀'sǐ nā ò.
Comment tu t'appelles? Quel est ton nom?,Zēn zǒ mɑ́ wɑ̄?
Je m'appelle … mon nom est…,Zēn zǎ mɑ́…
Je m'appelle Ngèēnzhwî; mon nom est Ngèēnzhwî.,Zēn zǎ mɑ́ Ngèēnzhwî.
Quel âge as-tu?,Ǒ ghʉ̌ ngù' sʉ̄'ʉ̄? Ǒ ghʉ̌ ngǔ'nzɑ̄ sʉ̄'ʉ̄?
J'ai neuf ans.,Ngɑ̌ ghʉ̌ ngǔ'nzɑ̄ vʉ̀'ʉ̄.
"Et toi, quel âge as-tu?","Wò yō, ǒ ghʉ̌ ngǔ'nzɑ̄ sʉ̄'ʉ̄?"
J'ai 25 ans.,Ngɑ̌ ghʉ̌ ngǔ'nzɑ̄ ncɔ̀ tî mɑ̀ mʉ̄mbʉ́ɑ́.
Quel est ton éloge(nom honorifique)?,Ndɑ̀ɑ̀ mǒ mɑ́ kɑ́?
Mon éloge(nom honorifique)est Zadjeu.,Ndɑ̀ɑ̀ mǎ mɑ́ Nzɛ̄ɛ̀nzhʉ̀ɑ̀'
Qui est cette personne?,Wɑ̄ béé è?
Qui est-ce? C'est qui?,Wɑ̄ bɑ́ ɑ̄?
Qui est-il/elle?,Ǎ mɑ́ wɑ̄?
C'est mon ami(e).,Sēn à bɑ́.
Il/elle est mon ami(e).,Ǎ mɑ́ sēn à.
Comment s'appelle ton ami?,Zén sēn ǒ mɑ́ wɑ̄?
Comment s'appelle-t-il/elle?,Zēn zǐ mɑ́ wɑ̄?
Mon ami s'appelle Yámɑ̄nì.,Zén sēn ǎ mɑ́ Yámɑ̄nì.
Quel âge a-t-il?,Ǎ ghʉ̌ ngù' sʉ̄'ʉ̄? Ǎ ghʉ̌ ngǔ'nzɑ̄ sʉ̄'ʉ̄?
As-tu des amis?,Ǒ ghʉ̌ nse᷄n?
J'ai un ami.,Ngɑ̌ ghʉ̌ tɑ̀' sēn.
Il s'appelle Mfìènkàk.,Zēn zǐ mɑ́ Mfìènkàk.
J'ai un ami garçon.,Ngɑ̌ ghʉ̌ tɑ̀' sēn yì mbâ'.
J'ai une amie fille.,Ngɑ̌ ghʉ̌ tɑ̀' sēn yì mʉ̀nzhwīē.
J'ai un ami garçon et une amie fille.,Ngɑ̌ ghʉ̌ tɑ̀' sēn yì mbâ' pí tɑ̀' sēn yì mʉ̀nzhwīē.
Et,Pí
Avec qui?,Pí wɑ̄?
Avec quoi?,Pí kɑ́?
Avec moi.,Pí mʉ̀.
Avec qui est-elle venue?,Ǎ sɑ̀' pí wɑ̄?
Elle est venue avec sa mère.,Ǎ sɑ̀' pí mɑ̄ ā.
Avec quoi est-elle venue?,Ǎ sɑ̀' pí kɑ́?
Elle est venue avec la viande.,Ǎ sɑ̀' pí mbɑ̀ɑ̀.
Comment s'appellent tes amis?,Nzén nsēn mbǒ mɑ́ wɑ̄?
Ils s'appellent …,Nzēn yɑ̀ɑ́ mɑ́ …
Connais-tu son nom?,Ǒ zhí zēn zǐ?
"Non, je ne connais pas son nom.","Ngǎ', ǹ kɑ̀' zhī zēn zǐ bɑ̄."
"Non, pas du tout.","Ngǎ' nā à, zǎ!"
"Oui, je sais.","Ŋ̄h, ngɑ̌ zhí."
"Non, je ne sais pas.","Ngǎ', ǹ kɑ̀' zhī bɑ̄."
"Je crois, je pense.",Ngɑ̌ kwà'.
Je crois que oui.,"Ngɑ̌ kwà' fà'á, ngɑ̌ kwà' mɑ́ ŋ̄h."
Je ne crois pas.,"Ǹ kɑ̀' kwá' bɑ̄, ǹ kɑ̀' kwá' fà'á."
J'ai quatre frères et sœurs.,Ngɑ̌ ghʉ̌ póómɑ̄ kwɑ̀.
Aimes-tu les amis??,Ǒ nkə́' nse᷄n?
Je n'ai pas d'ami.,Ǹ kɑ̀' ghʉ́ sēn bɑ̄.
Je n'aime pas les amis.,Ǹ sǐ' nkwé' nsēn bɑ̄.
"Même pas un peu, pas du tout.","Mbɑ̀ nèhē, mbɑ̀ mēnsə̀ə̀."
Je n'aime du tout pas la viande.,Ǹ kɑ̀' kwé' mbɑ̀ɑ̀ mbɑ̀ nèhē.
As-tu un ordinateur?,Ǒ ghʉ̌ sāhndó' ó?
Oui j'ai un ordinateur.,Ŋ̄h! Ngɑ̌ ghʉ̌ sāhndó'.
Bien sûr! J'ai ça.,Ŋ̄h bɑ̂! Ngɑ̌ ghʉ̌ yāā.
"De nos jours, chacun devrait avoir ça.",Nɑ́ nzɑ́ ngǔ'è lè mbɑ̀wɑ̄lɑ́ ghʉ̀ mbʉ́ɑ́ ghʉ̌ yāā.
As-tu un téléphone?,Ǒ ghʉ̌ lòlò ó? Ǒ ghʉ̌ nkhʉ̌nkěn?
Oui j'ai un téléphone.,Ŋ̄h! Ngɑ̌ ghʉ̌ nkhʉ̌nkèn.
"Non, je n'ai pas de téléphone.",Ngǎ'! Ǹ kɑ̀' ghʉ́ nkhʉ̌nkèn(bɑ̄).
