Keyword,clafrica,
á,a2,.mp3
à,a1,.mp3
ǎ,a7,.mp3
ā,a3,.mp3
ɑ́,af2,.mp3
ɑ̀,af1,.mp3
à hāà,a1_ha3a1,.mp3
āfrīkà,a3fri3ka1,.mp3
àhâ,a1ha3a1,.mp3
āmērīkà,a3me3ri3ka1,.mp3
āzìà,a3zia1,.mp3
bà,ba1,.mp3
bǎ,ba7,.mp3
bā,ba3,.mp3
bɑ́,baf2,.mp3
bɑ̂,baf5,.mp3
bɑ̌,baf7,.mp3
bɑ̄,baf3,.mp3
báá,baa2,.mp3
bàá,ba7,.mp3
bàâ,ba1a5,.mp3
bǎàh,ba7a1h,.mp3
bǎh,ba7h,.mp3
báhà,ba2ha1,.mp3
bàhâ,ba1ha5,.mp3
bàt,ba1t,.mp3
bàtngʉ́,ba1tnguu2,.mp3
bàtntō',ba1tnto3_g,.mp3
bê,be5,.mp3
béé,bee2,.mp3
béè,be2e1,.mp3
bì,bi1,.mp3
bî,bi5,.mp3
bī,bi3,.mp3
bíí,bi22,.mp3
bíì,bi2i1,.mp3
bò,bo1,.mp3
bô,bo5,.mp3
bō,bo3,.mp3
bōksì,bo3ksi1,.mp3
bòlò,bo1lo1,.mp3
cá',ca2_g,.mp3
cà',ca1_g,.mp3
cǎ',ca7_g,.mp3
cā',ca3_g,.mp3
cɑ̀',caf1_g,.mp3
cɑ̄',caf3_g,.mp3
cǎ'lə̀ə̀,ca7_gleu11,.mp3
cǎ'ndhī,ca7_gndi3,.mp3
cà'sì,ca1_gsi1,.mp3
cā'sī,ca3_gsi3,.mp3
cɑ̀'sì,caf1_gsi1,.mp3
cà'sǐlə́ə́ndʉ̄ɑ̄,ca1_gsi7_leu22nduuaf3,.mp3
cɑ̀ɑ̀,caff1,.mp3
cɑ̄ɑ̄,caff3,.mp3
cɑ́ɑ́lò',caff2lo1_g,.mp3
cɑ̀ɑ̄nshù,caf1af3nshu1,.mp3
cɑ̄ɑ̄sī,caff3si3,.mp3
cáb,ca2b,.mp3
càb,ca1b,.mp3
cāb,ca3b,.mp3
càbɑ̀,ca1baf1,.mp3
cābɑ̄,ca3baf3,.mp3
cábkò,ca2bko1,.mp3
cābnshʉ̀',ca3bnshuu1_g,.mp3
cábnthʉ̄,ca2bnthuu3,.mp3
cābshʉ̀',ca3bshuu1_g,.mp3
càbsì,ca1bsi1,.mp3
càh,ca1h,.mp3
cāh,ca3h,.mp3
càhcàh,ca1hca1h,.mp3
càhlɑ̄',ca1hlaf3_g,.mp3
